close,high,low,open,timestamp,volume
46241.12,46252.41,46230,46230,1640995200,1.15094986
46278.36,46278.36,46199.9,46218.47,1640995260,0.19364022
46370.36,46370.36,46276.28,46310.02,1640995320,0.54555085
46342.63,46386.33,46319.86,46359.84,1640995380,0.09825215
46289.56,46326.81,46289.56,46326.81,1640995440,4.15994972
46431.25,46431.25,46303.04,46305.36,1640995500,2.55650074
46488.57,46488.57,46426.25,46467.68,1640995560,3.21005931
46425.24,46500,46419.41,46500,1640995620,1.39658631
46381.67,46421.08,46381.67,46421.08,1640995680,0.01662000
46363.53,46363.53,46344.58,46344.58,1640995740,0.19147000
46376.22,46376.22,46360.43,46360.43,1640995800,1.02455219
46291.3,46368.18,46291.3,46368.18,1640995860,0.49363577
46289.47,46289.55,46269.76,46280.42,1640995920,0.28142119
46321.54,46325.53,46281.41,46281.55,1640995980,0.37897207
46315.73,46334.26,46313.58,46334.26,1640996040,0.05701990
46290.02,46312.22,46290.02,46312.22,1640996100,0.00275000
46318.86,46318.86,46315.6,46318.42,1640996160,0.26559842
46271.33,46298.76,46261.66,46298.76,1640996220,0.09686091
46267.91,46267.91,46249.87,46251.85,1640996280,0.05198542
46275.78,46275.78,46216.5,46271.18,1640996340,0.53254906
46311.15,46311.15,46282.76,46282.76,1640996400,0.01329876
46343.62,46343.62,46280.75,46295.97,1640996460,0.14293497
46393.02,46393.02,46365.15,46376.25,1640996520,0.07205000
46360.63,46393.04,46354.34,46393.04,1640996580,0.30725421
46391.45,46391.45,46369.31,46369.31,1640996640,0.02412131
46374.44,46383.69,46373.35,46373.35,1640996700,0.05699355
46361.19,46382.25,46361.19,46378.89,1640996760,1.07993585
46338.73,46359.95,46338.73,46359.95,1640996820,0.06582160
46368.19,46368.19,46353.56,46353.56,1640996880,0.00251000
46346.26,46346.26,46346.26,46346.26,1640996940,0.01727000
46356.62,46356.62,46346.78,46346.78,1640997000,0.00352413
46363.48,46364.94,46356.62,46356.62,1640997060,0.03821000
46364.77,46364.77,46364.44,46364.44,1640997120,0.06052000
46367.97,46367.97,46361.09,46361.09,1640997180,0.50116000
46440.65,46440.65,46376.31,46376.31,1640997240,0.06917205
46466.08,46466.08,46448.54,46448.54,1640997300,0.00415000
46500,46500,46476.49,46476.49,1640997360,0.00948941
46476.72,46491.74,46470,46491.74,1640997420,0.16221305
46494.23,46500,46483.32,46500,1640997480,0.05992104
46514.19,46570.26,46490.49,46494.23,1640997540,1.58180325
46555.19,46555.19,46482.53,46511.93,1640997600,2.11019496
46632.39,46637.92,46546.25,46546.25,1640997660,8.84192702
46636.74,46670.49,46624.9,46635.22,1640997720,3.30036195
46646.84,46646.84,46639.42,46639.42,1640997780,0.01304000
46602.28,46639.25,46602.28,46639.25,1640997840,0.21837338
46600.21,46610.15,46567.54,46610.15,1640997900,0.04593440
46643.11,46643.11,46618.96,46618.96,1640997960,0.21793000
46659.08,46659.08,46622.12,46622.12,1640998020,0.04653087
46714.08,46737.06,46659.08,46659.08,1640998080,3.60115473
46699.86,46727.66,46691.18,46727.66,1640998140,0.14891000
46702.02,46702.02,46687.14,46692.73,1640998200,0.02673105
46679.48,46704.06,46679.48,46704.06,1640998260,0.03606441
46654.85,46675.01,46628.5,46664.27,1640998320,0.54669908
46650.78,46667.3,46648.02,46648.02,1640998380,0.10250258
46666.82,46703.68,46639.37,46639.37,1640998440,0.26450727
46661.23,46667.45,46650.73,46667.45,1640998500,0.01678000
46685.64,46698.98,46655.23,46665.02,1640998560,3.14394482
46678.3,46692.36,46661.86,46662.35,1640998620,0.11979000
46667.01,46667.01,46667.01,46667.01,1640998680,0.01900000
46650.66,46676.13,46632.41,46676.13,1640998740,0.12513000
46637.16,46666.66,46634.72,46656.08,1640998800,0.73312773
46611.53,46653.51,46611.53,46651.19,1640998860,0.60988000
46611.25,46625.02,46592.52,46625.02,1640998920,0.02445000
46585.75,46620.72,46585.75,46616.06,1640998980,0.10054990
46580.9,46591.54,46560.83,46570.71,1640999040,4.27861941
46567.26,46591.83,46566.41,46569.1,1640999100,0.01661186
